"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","TSN"
"62","Leucoraja ocellata","Leucoraja ocellata","species","Raie tachetée","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja ocellata",564145
"63","Leptoclinus maculatus","Leptoclinus maculatus","species","Lompénie tachetée","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus",171603
"64","Leptagonus decagonus","Leptagonus decagonus","species","Agone Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Agonidae","Leptagonus","Leptagonus decagonus",167478
"65","Icelus spatula","Icelus gilberti","species","Icèle spatulée","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Icelus","Icelus gilberti",644027
"66","Hippoglossus hippoglossus","Hippoglossus hippoglossus","species","Flétan Atlantique","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus",172933
"67","Hippoglossoides platessoides","Hippoglossoides platessoides","species","Plie canadienne","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides",172877
"68","Rissa tridactyla","Rissa tridactyla","species","Mouette tridactyle","Animalia","Chordata","Aves","Charadriiformes","Laridae","Rissa","Rissa tridactyla",176875
"69","Hemitripterus americanus","Hemitripterus americanus","species","Hémitriptère Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus",167289
"70","Gymnocanthus tricuspis","Gymnocanthus tricuspis","species","Tricorne arctique","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis",167275
"71","Gymnelus viridis","Gymnelus viridis","species","Unernak caméléon","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Gymnelus","Gymnelus viridis",631028
"72","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus","species","Plie grise","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus",172873
"73","Gasterosteus aculeatus aculeatus","Gasterosteus aculeatus","species","","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus",166365
"74","Gasterosteus aculeatus","Gasterosteus aculeatus","species","Épinoche à trois épines","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus",166365
"75","Gadus morhua","Gadus morhua","species","Morue de l'atlantique","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua",164712
